language,stars,forks,currentPeriodStars,name,author,avatar,fullname,url,languageColor,description,builtBy
Python,16140,3861,92,Megatron-LM,NVIDIA,https://github.com/NVIDIA.png,NVIDIA/Megatron-LM,https://github.com/NVIDIA/Megatron-LM,#3572A5,"
      Ongoing research training transformer models at scale
    ","[{'href': '/ko3n1g', 'username': 'ko3n1g', 'avatar': 'https://avatars.githubusercontent.com/u/16716991'}, {'href': '/jaredcasper', 'username': 'jaredcasper', 'avatar': 'https://avatars.githubusercontent.com/u/155158'}, {'href': '/lmcafee-nvidia', 'username': 'lmcafee-nvidia', 'avatar': 'https://avatars.githubusercontent.com/u/85179052'}, {'href': '/shanmugamr1992', 'username': 'shanmugamr1992', 'avatar': 'https://avatars.githubusercontent.com/u/111910568'}, {'href': '/deepakn94', 'username': 'deepakn94', 'avatar': 'https://avatars.githubusercontent.com/u/2724038'}]"
Python,15818,1652,140,FunASR,modelscope,https://github.com/modelscope.png,modelscope/FunASR,https://github.com/modelscope/FunASR,#3572A5,"
      A Fundamental End-to-End Speech Recognition Toolkit and Open Source SOTA Pretrained Models, Supporting Speech Recognition, Voice Activity Detection, Text Post-processing etc.
    ","[{'href': '/LauraGPT', 'username': 'LauraGPT', 'avatar': 'https://avatars.githubusercontent.com/u/18321252'}, {'href': '/lyblsgo', 'username': 'lyblsgo', 'avatar': 'https://avatars.githubusercontent.com/u/9068933'}, {'href': '/jmwang66', 'username': 'jmwang66', 'avatar': 'https://avatars.githubusercontent.com/u/44365744'}, {'href': '/hnluo', 'username': 'hnluo', 'avatar': 'https://avatars.githubusercontent.com/u/42902471'}, {'href': '/R1ckShi', 'username': 'R1ckShi', 'avatar': 'https://avatars.githubusercontent.com/u/40013335'}]"
Python,5975,674,33,blackbird,p1ngul1n0,https://github.com/p1ngul1n0.png,p1ngul1n0/blackbird,https://github.com/p1ngul1n0/blackbird,#3572A5,"
      An OSINT tool to search for accounts by username and email in social networks.
    ","[{'href': '/Pandede', 'username': 'Pandede', 'avatar': 'https://avatars.githubusercontent.com/u/38829000'}, {'href': '/yutodadil', 'username': 'yutodadil', 'avatar': 'https://avatars.githubusercontent.com/u/70030251'}, {'href': '/tr33n', 'username': 'tr33n', 'avatar': 'https://avatars.githubusercontent.com/u/24978532'}, {'href': '/qqux', 'username': 'qqux', 'avatar': 'https://avatars.githubusercontent.com/u/5076572'}]"
Python,13142,2110,59,stable-baselines3,DLR-RM,https://github.com/DLR-RM.png,DLR-RM/stable-baselines3,https://github.com/DLR-RM/stable-baselines3,#3572A5,"
      PyTorch version of Stable Baselines, reliable implementations of reinforcement learning algorithms. 
    ","[{'href': '/araffin', 'username': 'araffin', 'avatar': 'https://avatars.githubusercontent.com/u/1973948'}, {'href': '/qgallouedec', 'username': 'qgallouedec', 'avatar': 'https://avatars.githubusercontent.com/u/45557362'}, {'href': '/ndormann', 'username': 'ndormann', 'avatar': 'https://avatars.githubusercontent.com/u/21984565'}, {'href': '/Miffyli', 'username': 'Miffyli', 'avatar': 'https://avatars.githubusercontent.com/u/1633800'}, {'href': '/AdamGleave', 'username': 'AdamGleave', 'avatar': 'https://avatars.githubusercontent.com/u/1547683'}]"
Python,159772,32982,386,transformers,huggingface,https://github.com/huggingface.png,huggingface/transformers,https://github.com/huggingface/transformers,#3572A5,"
      🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. 
    ","[{'href': '/sgugger', 'username': 'sgugger', 'avatar': 'https://avatars.githubusercontent.com/u/35901082'}, {'href': '/ydshieh', 'username': 'ydshieh', 'avatar': 'https://avatars.githubusercontent.com/u/2521628'}, {'href': '/thomwolf', 'username': 'thomwolf', 'avatar': 'https://avatars.githubusercontent.com/u/7353373'}, {'href': '/LysandreJik', 'username': 'LysandreJik', 'avatar': 'https://avatars.githubusercontent.com/u/30755778'}, {'href': '/patrickvonplaten', 'username': 'patrickvonplaten', 'avatar': 'https://avatars.githubusercontent.com/u/23423619'}]"
Python,4705,580,56,baserow,baserow,https://github.com/baserow.png,baserow/baserow,https://github.com/baserow/baserow,#3572A5,"
      Build databases, automations, apps & agents with AI — no code. Open source platform available on cloud and self-hosted. GDPR, HIPAA, SOC 2 compliant. Best Airtable alternative.
    ","[{'href': '/bram2w', 'username': 'bram2w', 'avatar': 'https://avatars.githubusercontent.com/u/1261496'}, {'href': '/jrmi', 'username': 'jrmi', 'avatar': 'https://avatars.githubusercontent.com/u/571533'}, {'href': '/stribny', 'username': 'stribny', 'avatar': 'https://avatars.githubusercontent.com/u/313952'}, {'href': '/cezary-baserow', 'username': 'cezary-baserow', 'avatar': 'https://avatars.githubusercontent.com/u/238164479'}, {'href': '/silvestrid', 'username': 'silvestrid', 'avatar': 'https://avatars.githubusercontent.com/u/75379892'}]"
Python,8780,1421,18,ipex-llm,intel,https://github.com/intel.png,intel/ipex-llm,https://github.com/intel/ipex-llm,#3572A5,"
      Accelerate local LLM inference and finetuning (LLaMA, Mistral, ChatGLM, Qwen, DeepSeek, Mixtral, Gemma, Phi, MiniCPM, Qwen-VL, MiniCPM-V, etc.) on Intel XPU (e.g., local PC with iGPU and NPU, discrete GPU such as Arc, Flex and Max); seamlessly integrate with llama.cpp, Ollama, HuggingFace, LangChain, LlamaIndex, vLLM, DeepSpeed, Axolotl, etc.
    ","[{'href': '/Oscilloscope98', 'username': 'Oscilloscope98', 'avatar': 'https://avatars.githubusercontent.com/u/54161268'}, {'href': '/plusbang', 'username': 'plusbang', 'avatar': 'https://avatars.githubusercontent.com/u/108676127'}, {'href': '/liu-shaojun', 'username': 'liu-shaojun', 'avatar': 'https://avatars.githubusercontent.com/u/61072813'}, {'href': '/jason-dai', 'username': 'jason-dai', 'avatar': 'https://avatars.githubusercontent.com/u/1931082'}, {'href': '/cyita', 'username': 'cyita', 'avatar': 'https://avatars.githubusercontent.com/u/33650826'}]"
Python,134565,22238,943,langchain,langchain-ai,https://github.com/langchain-ai.png,langchain-ai/langchain,https://github.com/langchain-ai/langchain,#3572A5,"
      The agent engineering platform
    ","[{'href': '/baskaryan', 'username': 'baskaryan', 'avatar': 'https://avatars.githubusercontent.com/u/22008038'}, {'href': '/hwchase17', 'username': 'hwchase17', 'avatar': 'https://avatars.githubusercontent.com/u/11986836'}, {'href': '/ccurme', 'username': 'ccurme', 'avatar': 'https://avatars.githubusercontent.com/u/26529506'}, {'href': '/eyurtsev', 'username': 'eyurtsev', 'avatar': 'https://avatars.githubusercontent.com/u/3205522'}, {'href': '/mdrxy', 'username': 'mdrxy', 'avatar': 'https://avatars.githubusercontent.com/u/61371264'}]"
Python,23479,2637,118,flash-attention,Dao-AILab,https://github.com/Dao-AILab.png,Dao-AILab/flash-attention,https://github.com/Dao-AILab/flash-attention,#3572A5,"
      Fast and memory-efficient exact attention
    ","[{'href': '/tridao', 'username': 'tridao', 'avatar': 'https://avatars.githubusercontent.com/u/5616128'}, {'href': '/drisspg', 'username': 'drisspg', 'avatar': 'https://avatars.githubusercontent.com/u/32754868'}, {'href': '/piercefreeman', 'username': 'piercefreeman', 'avatar': 'https://avatars.githubusercontent.com/u/1712066'}, {'href': '/jayhshah', 'username': 'jayhshah', 'avatar': 'https://avatars.githubusercontent.com/u/17012019'}, {'href': '/henrylhtsang', 'username': 'henrylhtsang', 'avatar': 'https://avatars.githubusercontent.com/u/91030427'}]"
Python,18816,1385,142,buzz,chidiwilliams,https://github.com/chidiwilliams.png,chidiwilliams/buzz,https://github.com/chidiwilliams/buzz,#3572A5,"
      Buzz transcribes and translates audio offline on your personal computer. Powered by OpenAI's Whisper.
    ","[{'href': '/raivisdejus', 'username': 'raivisdejus', 'avatar': 'https://avatars.githubusercontent.com/u/5319134'}, {'href': '/Chenghao999', 'username': 'Chenghao999', 'avatar': 'https://avatars.githubusercontent.com/u/94270615'}, {'href': '/albanobattistella', 'username': 'albanobattistella', 'avatar': 'https://avatars.githubusercontent.com/u/34811668'}, {'href': '/faveoled', 'username': 'faveoled', 'avatar': 'https://avatars.githubusercontent.com/u/85760289'}]"
